"name","output","price","value"
"蓮霧","63902","39000","2492179"
"番石榴","141065","19700","2778974"
"檳榔","144195","60000","8651698"
"芒果","176716","37500","6626867"
"龍眼","101909","31100","3169370"
"其他雜柑類","47526","23369","1110632"
"葡萄柚","9339","15000","140087"
"檸檬","18606","17500","325609"
"柳橙","254125","9000","2287126"
"白柚","10174","27000","274709"
"斗柚","862","17500","15081"
"文旦柚","68061","24000","1633471"
"桶柑","54532","21000","1145170"
"椪柑","100689","21000","2114469"
"鳳梨","452060","14376","6498808"
"香蕉","207702","21840","4536205"
"香菇","4233","800000","3386104"
"洋菇","3951","70000","276568"
"草莓","6106","91000","555621"
"洋香瓜","48423","27800","1346172"
"香瓜","24057","27000","649541"
"西瓜","203275","12500","2540941"
"其他果菜類","116644","20681","2412345"
"毛豆","41202","15020","618853"
"荷蘭豆","7127","41000","292222"
"菜豆","14909","26500","395089"
"番椒","24178","31718","766890"
"蕃茄","110662","18500","2047243"
"茄子","25834","21500","555436"
"苦瓜","29684","27900","828176"
"冬瓜","29824","8000","238591"
"胡瓜","45373","15180","688756"
"越瓜","4621","7000","32349"
"金針菜","591","430000","254210"
"花椰菜","67877","20131","1366427"
"其他葉菜類","231684","15827","3666973"
"不結球白菜","69128","16500","1140605"
"結球白菜","98713","10500","1036489"
"甘藍","348818","9675","3374816"
"芹菜","26162","21600","565109"
"甕菜","29506","21450","632909"
"大芥菜","55091","9000","495820"
"其他莖菜類","42235","15035","634994"
"荸薺","66","35000","2324"
"蘆筍","2667","75000","200007"
"竹筍","255046","24400","6223127"
"韭菜","29963","25000","749076"
"茭白筍","46295","40000","1851783"
"蒜頭","54508","38730","2111081"
"蒜","20528","37000","759547"
"洋蔥","72720","10000","727203"
"馬鈴薯","59652","11500","686001"
"蔥頭","11949","23000","274831"
"蔥","95124","42520","4044663"
"芋","38592","28000","1080582"
"薑","31810","25700","817524"
"其他根菜類","9014","12786","115252"
"胡蘿蔔","92319","8500","784712"
"蘿蔔","118720","8000","949756"
"其他特用作物","29342","47912","1405853"
"山藥","18361","30000","550834"
"香花作物","134","155000","20845"
"樹薯","985","10000","9854"
"芝麻","408","200500","81771"
"菸草","1725","186670","321918"
"茶葉","17384","278700","4844785"
"生食用甘蔗","58400","8590","501659"
"製糖甘蔗","707102","773","546763"
"其他豆類","757","27810","21049"
"綠豆","51","74970","3843"
"紅豆","7013","65650","460430"
"花豆","64","22000","1399"
"落花生","55075","44740","2464073"
"大豆","141","25000","3517"
"其他糧食作物","369","30000","11081"
"甘藷","212816","12000","2553790"
"蜀黍","2532","14000","35442"
"栗","605","25000","15114"
"小麥","292","22000","6435"
"食用玉米","80807","14500","1171698"
"飼料玉米","37290","15000","559343"
"稻米","1178178","26620","31362747"
"蠶","-","-","-"
"盆花類(公頃)","772","1311144","1011757"
"苗圃類(公頃)","7924","328221","2600774"
"種籽類","1","1069500","578"
"球根類","25","48000","1213"
"蘭花","62027","47500","2946295"
"其他切花","27019","59131","1597626"
"天堂鳥","329","87600","28782"
"非洲菊","6618","39600","262092"
"火鶴花","4070","138000","561700"
"滿天星","129","55000","7105"
"玫瑰","10734","50160","538418"
"百合","6912","174000","1202762"
"香石竹","4879","38400","187343"
"洋桔梗","1261","72000","90786"
"大理花","1254","48000","60180"
"夜來香","1685","55200","93031"
"唐菖蒲","3896","60720","236574"
"菊花","17855","45600","814177"
"其他青果類","28576","24141","689847"
"可可椰子","35288","5000","176440"
"百香果","6662","28000","186525"
"番荔枝","70370","41000","2885177"
"棗","36991","36500","1350184"
"木瓜","82878","26400","2187968"
"蘋果","3645","48000","174955"
"梨","153450","33100","5079179"
"楊桃","16941","20000","338818"
"橄欖","2583","20400","52693"
"荔枝","95440","32625","3113723"
"梅","46890","16240","761501"
"柿","37032","29000","1073933"
"桃","28838","42250","1218415"
"李","22899","25000","572463"
"枇杷","9213","111850","1030426"
"葡萄","98091","43950","4311093"
"蓮霧","43693","41250","1802354"
"番石榴","135303","20250","2739882"
"檳榔","142636","58800","8387007"
"芒果","140290","36100","5064466"
"龍眼","82602","32250","2663917"
"其他雜柑類","50815","21232","1078901"
"葡萄柚","9444","14500","136931"
"檸檬","14446","20700","299038"
"柳橙","231549","10000","2315485"
"白柚","10891","24500","266823"
"斗柚","803","18500","14855"
"文旦柚","70150","27600","1936130"
"桶柑","53578","20500","1098353"
"椪柑","98179","21000","2061756"
"鳳梨","434769","14348","6238070"
"香蕉","172550","25500","4400020"
"香菇","4012","810000","3249695"
"洋菇","3898","75000","292353"
"草莓","5290","93000","491952"
"洋香瓜","40421","28000","1131789"
"香瓜","26147","28500","745200"
"西瓜","217619","11200","2437337"
"其他果菜類","118770","20339","2415695"
"毛豆","49398","14700","726146"
"荷蘭豆","6653","44500","296069"
"菜豆","15062","26500","399152"
"番椒","25301","31600","799513"
"蕃茄","99491","20500","2039561"
"茄子","27186","20000","543725"
"苦瓜","30491","27200","829342"
"冬瓜","26231","9200","241321"
"胡瓜","44463","14800","658048"
"越瓜","4833","7000","33828"
"金針菜","576","465000","267845"
"花椰菜","76569","18050","1382063"
"其他葉菜類","242723","15658","3800443"
"不結球白菜","80646","14000","1129040"
"結球白菜","120633","8180","986782"
"甘藍","346297","9500","3289823"
"芹菜","27565","18240","502792"
"甕菜","39763","19500","775374"
"大芥菜","41943","8440","354001"
"其他莖菜類","33784","17344","585954"
"荸薺","203","30000","6094"
"蘆筍","2479","78000","193372"
"竹筍","251994","27400","6904640"
"韭菜","35354","21500","760110"
"茭白筍","46169","39500","1823683"
"蒜頭","49600","45000","2231998"
"蒜","18257","29000","529461"
"洋蔥","46969","13500","634084"
"馬鈴薯","51390","13500","693759"
"蔥頭","11843","25000","296075"
"蔥","111347","26000","2895013"
"芋","42551","28500","1212717"
"薑","31393","26200","822484"
